id_temporada,temporada,id_competicion,estado,formato,numero_de_clubes,total_partidos,partidos_completados,jornada,total_jornadas,progreso,promedio_goles_por_partido,promedio_goles_equipo_local,promedio_goles_equipo_visitante,porcentaje_goles_ambos_equipos,porcentaje_porteria_a_cero,riesgo_prediccion,porcentaje_ventaja_goles_local,porcentaje_ventaja_defensa_local,porcentaje_ventaja_local,promedio_corners_por_partido,promedio_corners_equipo_local,promedio_corners_equipo_visitante,total_corners_temporada,promedio_tarjetas_por_partido,promedio_tarjetas_equipo_local,promedio_tarjetas_equipo_visitante,total_tarjetas_temporada,porcentaje_mas_de_05,porcentaje_mas_de_15,porcentaje_mas_de_25,porcentaje_mas_de_35,porcentaje_mas_de_45,porcentaje_mas_de_55,porcentaje_menos_de_05,porcentaje_menos_de_15,porcentaje_menos_de_25,porcentaje_menos_de_35,porcentaje_menos_de_45,porcentaje_menos_de_55,porcentaje_mas_de_65_corners,porcentaje_mas_de_75_corners,porcentaje_mas_de_85_corners,porcentaje_mas_de_95_corners,porcentaje_mas_de_105_corners,porcentaje_mas_de_115_corners,porcentaje_mas_de_125_corners,porcentaje_mas_de_135_corners,porcentaje_mas_de_05_tarjetas,porcentaje_mas_de_15_tarjetas,porcentaje_mas_de_25_tarjetas,porcentaje_mas_de_35_tarjetas,porcentaje_mas_de_45_tarjetas,porcentaje_mas_de_55_tarjetas,porcentaje_mas_de_65_tarjetas,porcentaje_mas_de_75_tarjetas,goles_min_0_a_10,goles_min_11_a_20,goles_min_21_a_30,goles_min_31_a_40,goles_min_41_a_50,goles_min_51_a_60,goles_min_61_a_70,goles_min_71_a_80,goles_min_81_a_90,goles_min_0_a_15,goles_min_16_a_30,goles_min_31_a_45,goles_min_46_a_60,goles_min_61_a_75,goles_min_76_a_90,xg_promedio_por_partido
23/24_CopaReyESP,2023/2024,CopaReyESP,Completado,Eliminatorias,125,126,126,0,0,100,2.83,0.88,1.95,43,63,85,-55,-122,-89,9.92,4.43,5.49,1200,4.84,2.57,2.27,586,94,71,54,28,13,8,6,28,46,71,87,92,84,76,66,52,38,28,25,15,100,93,81,62,46,37,23,15,25,24,39,35,39,43,32,34,54,35,53,57,60,53,67,3.03
08/09_LaLiga1,2008/2009,LaLiga1,Completado,Liga,20,380,380,38,38,100,2.9,1.66,1.24,54,51,81,34,25,30,0.0,0.0,0.0,0,6.27,3.01,3.25,2363,95,77,53,31,19,9,5,23,47,69,81,91,0,0,0,0,0,0,0,0,100,98,95,87,73,57,43,28,94,114,116,113,134,122,116,104,188,139,185,186,183,169,239,0.0
09/10_LaLiga1,2009/2010,LaLiga1,Completado,Liga,20,380,380,38,38,100,2.71,1.6,1.11,52,56,74,44,31,38,0.0,0.0,0.0,0,5.97,2.66,3.31,2233,92,77,51,28,16,6,8,23,49,71,84,94,0,0,0,0,0,0,0,0,100,98,89,81,68,57,41,27,82,90,110,101,117,122,112,136,161,125,157,160,180,173,236,0.0
10/11_LaLiga1,2010/2011,LaLiga1,Completado,Liga,20,380,380,38,38,100,2.74,1.64,1.11,50,56,76,48,32,40,10.77,6.18,4.59,4091,5.81,2.75,3.06,2209,93,75,54,28,14,5,7,25,46,71,86,95,87,82,73,63,52,40,31,23,99,94,89,82,71,53,39,24,88,91,114,108,124,118,126,115,158,139,154,186,164,175,224,0.0
11/12_LaLiga1,2011/2012,LaLiga1,Completado,Liga,20,380,380,38,38,100,2.76,1.68,1.08,51,57,77,56,36,46,10.84,6.17,4.67,4119,6.36,2.97,3.39,2418,91,73,54,31,15,7,9,27,46,69,85,93,91,82,71,61,51,42,33,22,100,98,94,87,75,61,43,32,79,97,105,104,119,113,126,128,179,130,151,168,168,193,240,0.0
12/13_LaLiga1,2012/2013,LaLiga1,Completado,Liga,20,380,380,38,38,100,2.87,1.69,1.18,53,53,80,43,30,37,11.18,6.36,4.82,4247,6.2,2.91,3.3,2357,93,76,54,32,17,10,7,24,46,68,83,90,93,89,77,66,55,44,35,23,99,97,91,84,72,62,44,28,94,104,134,107,128,123,109,109,183,147,185,185,173,163,238,0.0
13/14_LaLiga1,2013/2014,LaLiga1,Completado,Liga,20,380,380,38,38,100,2.75,1.63,1.12,47,61,72,46,31,39,11.07,6.18,4.89,4208,5.54,2.61,2.93,2105,92,72,53,32,17,6,8,28,47,68,83,94,93,85,77,67,56,42,32,22,99,95,90,80,62,49,31,22,89,82,102,113,119,115,127,137,161,126,147,182,165,202,223,0.0
14/15_LaLiga1,2014/2015,LaLiga1,Completado,Liga,20,380,380,38,38,100,2.66,1.54,1.12,47,61,70,38,27,33,10.23,5.83,4.4,3815,5.89,2.76,3.13,2238,92,74,48,27,13,7,8,26,52,73,87,93,88,79,66,53,44,33,26,18,99,97,90,79,67,54,40,30,71,88,97,133,103,116,102,126,173,112,144,200,152,166,235,0.0
15/16_LaLiga1,2015/2016,LaLiga1,Completado,Liga,20,380,380,38,38,100,2.74,1.62,1.13,50,56,75,43,30,37,10.11,5.73,4.38,3843,5.86,2.74,3.12,2228,93,77,52,28,13,7,7,23,48,71,87,93,87,77,64,55,43,33,23,16,99,98,92,84,68,53,36,23,102,97,116,93,121,115,103,111,185,151,164,159,170,155,244,0.0
16/17_LaLiga1,2016/2017,LaLiga1,Completado,Liga,20,380,380,38,38,100,2.94,1.66,1.28,56,51,84,30,23,27,9.47,5.53,3.94,3600,5.49,2.53,2.96,2086,93,78,56,34,20,8,7,22,44,66,80,92,82,73,61,47,37,24,17,11,100,96,89,79,65,49,32,20,87,92,114,105,131,129,138,127,195,133,160,188,177,203,257,3.11
