id_partido,id_competicion,id_temporada,fecha,id_equipo_local,id_equipo_visitante,jornada,goles_equipo_local,goles_equipo_visitante
,CopaReyESP,13/14_CopaReyESP,2013-12-18,469,514,,2,2
,CopaReyESP,13/14_CopaReyESP,2013-12-18,475,526,,4,0
,CopaReyESP,13/14_CopaReyESP,2013-12-18,460,518,,2,1
,CopaReyESP,13/14_CopaReyESP,2013-12-18,481,461,,0,0
,CopaReyESP,13/14_CopaReyESP,2013-12-18,459,498,,0,2
,CopaReyESP,13/14_CopaReyESP,2013-12-18,458,519,,2,0
,CopaReyESP,13/14_CopaReyESP,2013-12-19,476,482,,3,1
,CopaReyESP,13/14_CopaReyESP,2013-12-19,473,488,,1,0
,CopaReyESP,13/14_CopaReyESP,2013-12-19,465,500,,2,0
,CopaReyESP,13/14_CopaReyESP,2013-12-19,470,466,,4,0
,CopaReyESP,13/14_CopaReyESP,2014-01-07,473,460,,1,1
,CopaReyESP,13/14_CopaReyESP,2014-01-08,487,465,,1,0
,CopaReyESP,13/14_CopaReyESP,2014-01-08,469,470,,1,0
,CopaReyESP,13/14_CopaReyESP,2014-01-08,498,481,,1,1
,CopaReyESP,13/14_CopaReyESP,2014-01-08,457,478,,4,0
,CopaReyESP,13/14_CopaReyESP,2014-01-09,475,456,,0,0
,CopaReyESP,13/14_CopaReyESP,2014-01-09,476,477,,0,0
,CopaReyESP,13/14_CopaReyESP,2014-01-09,458,472,,2,0
,CopaReyESP,13/14_CopaReyESP,2014-01-14,481,498,,0,2
,CopaReyESP,13/14_CopaReyESP,2014-01-14,460,473,,2,0
,CopaReyESP,13/14_CopaReyESP,2014-01-15,465,487,,4,2
,CopaReyESP,13/14_CopaReyESP,2014-01-15,470,469,,2,0
,CopaReyESP,13/14_CopaReyESP,2014-01-15,477,476,,1,0
,CopaReyESP,13/14_CopaReyESP,2014-01-15,472,458,,0,2
,CopaReyESP,13/14_CopaReyESP,2014-01-16,456,475,,0,1
,CopaReyESP,13/14_CopaReyESP,2014-01-16,478,457,,0,2
,CopaReyESP,13/14_CopaReyESP,2014-01-21,465,458,,0,1
,CopaReyESP,13/14_CopaReyESP,2014-01-22,475,498,,3,1
,CopaReyESP,13/14_CopaReyESP,2014-01-22,477,457,,1,4
,CopaReyESP,13/14_CopaReyESP,2014-01-23,460,470,,1,0
,CopaReyESP,13/14_CopaReyESP,2014-01-28,458,465,,1,0
,CopaReyESP,13/14_CopaReyESP,2014-01-29,470,460,,1,2
,CopaReyESP,13/14_CopaReyESP,2014-01-29,457,477,,5,1
,CopaReyESP,13/14_CopaReyESP,2014-01-30,498,475,,0,3
,CopaReyESP,13/14_CopaReyESP,2014-02-05,458,460,,3,0
,CopaReyESP,13/14_CopaReyESP,2014-02-05,457,475,,2,0
,CopaReyESP,13/14_CopaReyESP,2014-02-11,460,458,,0,2
,CopaReyESP,13/14_CopaReyESP,2014-02-12,475,457,,1,1
,CopaReyESP,13/14_CopaReyESP,2014-04-16,457,458,,1,2
,CopaReyESP,14/15_CopaReyESP,2014-09-03,611,618,,3,0
,CopaReyESP,14/15_CopaReyESP,2014-09-03,603,608,,1,0
,CopaReyESP,14/15_CopaReyESP,2014-09-03,616,534,,1,0
,CopaReyESP,14/15_CopaReyESP,2014-09-03,621,620,,0,3
,CopaReyESP,14/15_CopaReyESP,2014-09-03,517,609,,3,0
,CopaReyESP,14/15_CopaReyESP,2014-09-03,522,593,,5,1
,CopaReyESP,14/15_CopaReyESP,2014-09-03,602,607,,0,0
,CopaReyESP,14/15_CopaReyESP,2014-09-03,486,506,,2,1
,CopaReyESP,14/15_CopaReyESP,2014-09-03,488,604,,0,0
,CopaReyESP,14/15_CopaReyESP,2014-09-03,510,532,,1,1
,CopaReyESP,14/15_CopaReyESP,2014-09-03,491,516,,4,0
,CopaReyESP,14/15_CopaReyESP,2014-09-03,598,500,,0,0
,CopaReyESP,14/15_CopaReyESP,2014-09-03,617,614,,1,2
,CopaReyESP,14/15_CopaReyESP,2014-09-03,606,576,,0,3
,CopaReyESP,14/15_CopaReyESP,2014-09-03,595,513,,0,1
,CopaReyESP,14/15_CopaReyESP,2014-09-03,511,574,,0,1
,CopaReyESP,14/15_CopaReyESP,2014-09-03,504,594,,2,2
,CopaReyESP,14/15_CopaReyESP,2014-09-03,501,596,,2,2
,CopaReyESP,14/15_CopaReyESP,2014-09-09,493,492,,0,0
,CopaReyESP,14/15_CopaReyESP,2014-09-09,462,472,,2,0
,CopaReyESP,14/15_CopaReyESP,2014-09-10,603,620,,2,0
,CopaReyESP,14/15_CopaReyESP,2014-09-10,616,611,,3,1
,CopaReyESP,14/15_CopaReyESP,2014-09-10,474,482,,1,3
,CopaReyESP,14/15_CopaReyESP,2014-09-10,469,580,,2,0
,CopaReyESP,14/15_CopaReyESP,2014-09-10,495,484,,1,0
,CopaReyESP,14/15_CopaReyESP,2014-09-10,510,488,,1,0
,CopaReyESP,14/15_CopaReyESP,2014-09-10,602,517,,0,1
,CopaReyESP,14/15_CopaReyESP,2014-09-10,574,596,,1,1
,CopaReyESP,14/15_CopaReyESP,2014-09-10,485,522,,4,1
,CopaReyESP,14/15_CopaReyESP,2014-09-10,613,521,,0,1
,CopaReyESP,14/15_CopaReyESP,2014-09-10,514,502,,3,0
,CopaReyESP,14/15_CopaReyESP,2014-09-10,594,486,,2,2
,CopaReyESP,14/15_CopaReyESP,2014-09-10,576,614,,2,1
,CopaReyESP,14/15_CopaReyESP,2014-09-10,513,508,,4,1
,CopaReyESP,14/15_CopaReyESP,2014-09-10,598,612,,3,2
,CopaReyESP,14/15_CopaReyESP,2014-09-10,497,494,,2,1
,CopaReyESP,14/15_CopaReyESP,2014-09-10,499,496,,1,2
,CopaReyESP,14/15_CopaReyESP,2014-09-10,463,490,,1,1
,CopaReyESP,14/15_CopaReyESP,2014-09-10,483,461,,0,2
,CopaReyESP,14/15_CopaReyESP,2014-09-11,489,487,,1,0
,CopaReyESP,14/15_CopaReyESP,2014-10-14,485,462,,0,1
,CopaReyESP,14/15_CopaReyESP,2014-10-14,495,497,,2,1
,CopaReyESP,14/15_CopaReyESP,2014-10-15,521,616,,3,2
,CopaReyESP,14/15_CopaReyESP,2014-10-15,482,493,,2,0
,CopaReyESP,14/15_CopaReyESP,2014-10-15,510,514,,1,0
,CopaReyESP,14/15_CopaReyESP,2014-10-15,486,517,,2,1
,CopaReyESP,14/15_CopaReyESP,2014-10-15,491,574,,1,0
,CopaReyESP,14/15_CopaReyESP,2014-10-15,598,603,,2,1
,CopaReyESP,14/15_CopaReyESP,2014-10-15,513,576,,1,2
,CopaReyESP,14/15_CopaReyESP,2014-10-15,469,489,,0,0
,CopaReyESP,14/15_CopaReyESP,2014-10-16,461,490,,2,0
,CopaReyESP,14/15_CopaReyESP,2014-10-29,598,458,,1,4
,CopaReyESP,14/15_CopaReyESP,2014-10-29,496,459,,1,6
,CopaReyESP,14/15_CopaReyESP,2014-12-02,458,598,,5,0
,CopaReyESP,14/15_CopaReyESP,2014-12-02,462,465,,0,2
,CopaReyESP,14/15_CopaReyESP,2014-12-02,510,470,,1,1
,CopaReyESP,14/15_CopaReyESP,2014-12-02,461,466,,2,1
,CopaReyESP,14/15_CopaReyESP,2014-12-02,482,480,,0,0
,CopaReyESP,14/15_CopaReyESP,2014-12-03,459,496,,5,1
,CopaReyESP,14/15_CopaReyESP,2014-12-03,521,460,,0,3
,CopaReyESP,14/15_CopaReyESP,2014-12-03,471,468,,1,1
,CopaReyESP,14/15_CopaReyESP,2014-12-03,486,457,,0,4
,CopaReyESP,14/15_CopaReyESP,2014-12-03,467,479,,1,0
,CopaReyESP,14/15_CopaReyESP,2014-12-04,576,456,,1,2
,CopaReyESP,14/15_CopaReyESP,2014-12-04,491,475,,0,0
,CopaReyESP,14/15_CopaReyESP,2014-12-04,476,473,,1,2
,CopaReyESP,14/15_CopaReyESP,2014-12-05,495,477,,1,1
,CopaReyESP,14/15_CopaReyESP,2014-12-05,478,464,,3,0
,CopaReyESP,14/15_CopaReyESP,2014-12-05,469,481,,3,4
,CopaReyESP,14/15_CopaReyESP,2014-12-16,466,461,,3,1
,CopaReyESP,14/15_CopaReyESP,2014-12-16,473,476,,4,4
,CopaReyESP,14/15_CopaReyESP,2014-12-16,457,486,,8,1
,CopaReyESP,14/15_CopaReyESP,2014-12-16,481,469,,2,1
,CopaReyESP,14/15_CopaReyESP,2014-12-17,465,462,,1,0
,CopaReyESP,14/15_CopaReyESP,2014-12-17,477,495,,0,0
,CopaReyESP,14/15_CopaReyESP,2014-12-17,464,478,,1,2
,CopaReyESP,14/15_CopaReyESP,2014-12-17,479,467,,1,1
,CopaReyESP,14/15_CopaReyESP,2014-12-17,456,576,,3,0
,CopaReyESP,14/15_CopaReyESP,2014-12-17,475,491,,2,0
,CopaReyESP,14/15_CopaReyESP,2014-12-18,480,482,,1,0
,CopaReyESP,14/15_CopaReyESP,2014-12-18,460,521,,2,2
,CopaReyESP,14/15_CopaReyESP,2014-12-18,470,510,,1,0
,CopaReyESP,14/15_CopaReyESP,2014-12-18,468,471,,4,1
,CopaReyESP,14/15_CopaReyESP,2015-01-06,466,470,,2,4
,CopaReyESP,14/15_CopaReyESP,2015-01-06,468,477,,2,0
,CopaReyESP,14/15_CopaReyESP,2015-01-07,456,475,,1,0
,CopaReyESP,14/15_CopaReyESP,2015-01-07,460,458,,2,0
,CopaReyESP,14/15_CopaReyESP,2015-01-07,473,465,,2,1
,CopaReyESP,14/15_CopaReyESP,2015-01-07,481,478,,1,1
,CopaReyESP,14/15_CopaReyESP,2015-01-08,467,459,,1,2
,CopaReyESP,14/15_CopaReyESP,2015-01-08,457,480,,5,0
,CopaReyESP,14/15_CopaReyESP,2015-01-13,465,473,,2,0
,CopaReyESP,14/15_CopaReyESP,2015-01-13,477,468,,3,2
,CopaReyESP,14/15_CopaReyESP,2015-01-14,470,466,,0,2
,CopaReyESP,14/15_CopaReyESP,2015-01-14,475,456,,2,2
,CopaReyESP,14/15_CopaReyESP,2015-01-14,478,481,,1,0
,CopaReyESP,14/15_CopaReyESP,2015-01-14,459,467,,4,0
,CopaReyESP,14/15_CopaReyESP,2015-01-15,458,460,,2,2
,CopaReyESP,14/15_CopaReyESP,2015-01-15,480,457,,0,4
,CopaReyESP,14/15_CopaReyESP,2015-01-21,456,478,,1,0
,CopaReyESP,14/15_CopaReyESP,2015-01-21,457,460,,1,0
,CopaReyESP,14/15_CopaReyESP,2015-01-21,468,470,,0,0
,CopaReyESP,14/15_CopaReyESP,2015-01-22,465,459,,3,1
,CopaReyESP,14/15_CopaReyESP,2015-01-28,460,457,,2,3
,CopaReyESP,14/15_CopaReyESP,2015-01-29,478,456,,0,1
,CopaReyESP,14/15_CopaReyESP,2015-01-29,470,468,,1,0
,CopaReyESP,14/15_CopaReyESP,2015-01-29,459,465,,1,0
,CopaReyESP,14/15_CopaReyESP,2015-02-11,457,456,,3,1
,CopaReyESP,14/15_CopaReyESP,2015-02-11,470,465,,1,1
,CopaReyESP,14/15_CopaReyESP,2015-03-04,456,457,,1,3
,CopaReyESP,14/15_CopaReyESP,2015-03-04,465,470,,0,2
,CopaReyESP,14/15_CopaReyESP,2015-05-30,470,457,,1,3
,CopaReyESP,15/16_CopaReyESP,2015-08-27,694,687,,0,3
,CopaReyESP,15/16_CopaReyESP,2015-09-02,698,689,,2,0
,CopaReyESP,15/16_CopaReyESP,2015-09-02,524,675,,3,2
,CopaReyESP,15/16_CopaReyESP,2015-09-02,701,697,,1,4
,CopaReyESP,15/16_CopaReyESP,2015-09-02,693,507,,2,2
,CopaReyESP,15/16_CopaReyESP,2015-09-02,618,672,,2,3
,CopaReyESP,15/16_CopaReyESP,2015-09-02,700,498,,2,0
,CopaReyESP,15/16_CopaReyESP,2015-09-02,502,695,,0,2
,CopaReyESP,15/16_CopaReyESP,2015-09-02,496,704,,1,1
,CopaReyESP,15/16_CopaReyESP,2015-09-02,613,691,,1,0
,CopaReyESP,15/16_CopaReyESP,2015-09-02,510,692,,1,2
,CopaReyESP,15/16_CopaReyESP,2015-09-02,657,702,,2,0
,CopaReyESP,15/16_CopaReyESP,2015-09-02,685,699,,2,1
,CopaReyESP,15/16_CopaReyESP,2015-09-02,514,501,,3,1
,CopaReyESP,15/16_CopaReyESP,2015-09-02,513,497,,1,0
